
==== T = 300 K (history 8, damping 0.40, max_iter 250) ====
  it        free_energy        d_free          rms          max_res     q(Me4N+)   q(Cl)  restarts status conv
 201   -22.208212323891  -9.231647e-01   9.843234e-02   1.199347e+00   0.47695 -0.47695      0       0 0
 202   -22.255148421025  -4.693610e-02   4.276591e-02   5.230700e-01   0.81489 -0.81489      0       0 0
 203   -22.265075918521  -9.927497e-03   1.448174e-02   1.758370e-01   0.90046 -0.90046      0       0 0
 204   -21.285105757723   9.799702e-01   1.558608e-01   1.900449e+00  -0.19886  0.19886      0       0 0
 205   -22.208265085558  -9.231593e-01   9.838964e-02   1.198839e+00   0.47672 -0.47672      0       0 0
 206   -22.255138782564  -4.687370e-02   4.278492e-02   5.232981e-01   0.81490 -0.81490      0       0 0
 207   -22.265076915586  -9.938133e-03   1.448052e-02   1.758129e-01   0.90008 -0.90008      0       0 0
 208   -21.285161644635   9.799153e-01   1.558294e-01   1.900068e+00  -0.19837  0.19837      0       0 0
 209   -22.208315403247  -9.231538e-01   9.834887e-02   1.198354e+00   0.47651 -0.47651      0       0 0
 210   -22.255129727545  -4.681432e-02   4.280277e-02   5.235121e-01   0.81491 -0.81491      0       0 0
 211   -22.265077504138  -9.947777e-03   1.447985e-02   1.757960e-01   0.89972 -0.89972      0       0 0
 212   -21.285215246690   9.798623e-01   1.557993e-01   1.899703e+00  -0.19791  0.19791      0       0 0
 213   -22.208363342844  -9.231481e-01   9.830998e-02   1.197890e+00   0.47630 -0.47630      0       0 0
 214   -22.255121222937  -4.675788e-02   4.281952e-02   5.237129e-01   0.81491 -0.81491      0       0 0
 215   -22.265077740710  -9.956518e-03   1.447965e-02   1.757853e-01   0.89937 -0.89937      0       0 0
 216   -21.285266583875   9.798112e-01   1.557704e-01   1.899352e+00  -0.19747  0.19747      0       0 0
 217   -22.208408975110  -9.231424e-01   9.827293e-02   1.197449e+00   0.47612 -0.47612      0       0 0
 218   -22.255113236882  -4.670426e-02   4.283524e-02   5.239012e-01   0.81491 -0.81491      0       0 0
 219   -22.265077675189  -9.964438e-03   1.447985e-02   1.757801e-01   0.89903 -0.89903      0       0 0
 220   -21.285315687996   9.797620e-01   1.557427e-01   1.899016e+00  -0.19705  0.19705      0       0 0
 221   -22.208452374647  -9.231367e-01   9.823766e-02   1.197028e+00   0.47594 -0.47594      0       0 0
 222   -22.255105738928  -4.665336e-02   4.284998e-02   5.240777e-01   0.81492 -0.81492      0       0 0
 223   -22.265077351200  -9.971612e-03   1.448040e-02   1.757794e-01   0.89871 -0.89871      0       0 0
 224   -21.285362600412   9.797148e-01   1.557163e-01   1.898695e+00  -0.19665  0.19665      0       0 0
 225   -22.208493618043  -9.231310e-01   9.820410e-02   1.196628e+00   0.47577 -0.47577      0       0 0
 226   -22.255098700008  -4.660508e-02   4.286381e-02   5.242433e-01   0.81492 -0.81492      0       0 0
 227   -22.265076808250  -9.978108e-03   1.448124e-02   1.757828e-01   0.89840 -0.89840      0       0 0
 228   -21.285407370672   9.796694e-01   1.556910e-01   1.898389e+00  -0.19627  0.19627      0       0 0
 229   -22.208532783504  -9.231254e-01   9.817222e-02   1.196248e+00   0.47562 -0.47562      0       0 0
 230   -22.255092092532  -4.655931e-02   4.287678e-02   5.243986e-01   0.81492 -0.81492      0       0 0
 231   -22.265076081437  -9.983989e-03   1.448233e-02   1.757895e-01   0.89811 -0.89811      0       0 0
